tempo,chroma_mean,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,filename,label,cluster
[123.046875],0.5649601,2730.1713584399345,-112.177704,59.495342,9.331319,26.66395,10.384825,11.492492,-1.0202134,7.3597264,0.6285344,3.254436,-0.06375255,5.196009,0.6202456,Matt Mason - Complete Control - Sugar Shack - Mastered.mp3,Favorites,3
[123.046875],0.60989743,3292.8943595233063,-103.03007,32.796562,24.3209,18.480545,11.330575,22.260738,2.6341805,12.690652,7.0329,7.06443,1.3142678,8.378583,0.705439,"Ebm - 7b0c6980-af90-4778-8276-6b19c7a596e0 - Artful, Ridney, Terri Walker, Michael Gray - Missing You (Michael Gray Remix).m4a",Favorites,1
[86.1328125],0.51600707,3778.1288217552346,-155.30116,33.128952,37.428402,21.720556,4.2674656,15.259837,-3.7622418,1.1710811,-2.7795186,-1.6963817,-0.72379524,0.7016537,-1.2522631,Scott Morter - Holding On (Orignal Mix)  Master.mp3,Favorites,2
[123.046875],0.5449086,3663.862745023213,-120.84357,8.65038,37.54959,36.521175,14.730841,17.942923,2.4212232,10.748176,1.7223947,10.626902,-2.2994466,5.97412,0.7599399,Chocolate Dice - I'm An Addict (4 Ur Love) (Original Mix) [ClapCrate.com].mp3,Favorites,2
[123.046875],0.5648482,2982.6514127972046,-119.24564,57.3428,13.666855,22.040731,2.8350422,10.510716,-1.1267242,0.8613446,-5.663492,-1.0183008,-5.543452,-1.8056821,-6.228121,"Mirko - Meex, Qubiko - Take Me Away (Qubiko Extended Remix).mp3",Favorites,3
[123.046875],0.6287475,2917.3553709461444,-183.19186,33.391407,34.866978,36.382046,25.001442,25.53164,16.208641,17.692911,12.671441,12.350883,9.9406185,8.41324,6.36858,"Ziggy Funk, Taliwa - Everyday (Yass Classic .mp3",Favorites,3
[123.046875],0.6016056,3271.243112948415,-87.82783,35.17823,-0.7235398,16.184246,-7.821537,13.051026,-6.141566,0.17968524,-6.127019,0.319225,-3.265037,1.0830821,-5.000743,Paco Caniza - What You Want (Original Mix).mp3,Favorites,1
[63.02400915],0.61015797,2679.1184106963337,-156.6983,50.956017,15.525903,40.846466,14.634173,23.13544,4.846514,12.4779625,0.2972227,9.533151,3.2970972,7.967701,3.991324,Around The Bane (Noir Mashup Treatment).mp3,Favorites,3
[123.046875],0.48733643,3483.1022952803564,-34.93458,45.303352,25.526615,27.267385,9.469204,14.574651,-0.8373528,3.9278855,-5.1969213,0.92901367,-5.8291116,-0.61412716,-6.870374,Jorge Montia - My Feelings.mp3,Favorites,1
[123.046875],0.47880343,2916.285255705423,-148.21251,59.862694,-16.233032,8.274505,-5.642166,-0.6921962,-15.896625,-7.4672866,-9.688283,-0.80880976,-6.343144,-1.9826828,-9.2620125,"partywithray, ZHU, Golf Clap - Lil Mama (Golf Clap Remix).mp3",Favorites,3
